datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2024-04-26,1331460.576867416,0.0,10711178.640679149,0.0,10711.178640679143,0.0,0.0,1331460.576867416,-0.011292219
2024-04-27,1331460.576867416,0.0,10711178.640679149,0.0,10711.178640679143,0.0,0.0,1331460.576867416,-0.0048303604
2024-04-28,1332030.4134750268,0.0007279785804484623,11110616.813739374,0.3000000000000004,11110.616813739369,0.0003000000000000004,400407.4478408959,931622.965634131,-0.0054104924
2024-04-29,1326308.7454963934,-0.004294849769691625,11111414.277837342,0.0005986831005509337,11111.414277837337,5.986831005516001e-07,393889.1132283931,932419.6322680004,0.01184082
2024-04-30,1301234.3409466383,-0.018902387534163335,11115416.930269659,0.0030178888934483004,11115.416930269654,3.01788889344807e-06,372821.3637633864,928412.9771832519,-0.05001098
2024-05-01,1300860.2826682397,-9.515217582476348e-07,11488237.055880256,0.2865126702230849,11488.237055880252,0.0002865126702230858,0.0,1300860.2826682397,-0.038024664
2024-05-02,1300860.2826682397,0.0,11488237.055880256,0.0,11488.237055880252,0.0,0.0,1300860.2826682397,0.011918783
2024-05-03,1300860.2826682397,0.0,11488237.055880256,0.0,11488.237055880252,0.0,0.0,1300860.2826682397,0.06470311
2024-05-04,1306852.1324519436,0.004906067126143499,11878495.140680728,0.30000000000000043,11878.495140680725,0.0003000000000000006,396640.1926689762,910211.9397829673,0.01606226
2024-05-05,1306332.6215567784,-9.402035581917028e-05,12275135.333349705,0.3035080884971979,12275.1353333497,0.00030350808849719766,783988.4087686699,522344.2127881085,0.0018775463
2024-05-06,1310598.6284347002,0.003566842746391213,12668611.491001964,0.30120671501209756,12668.611491001959,0.0003012067150120968,1180356.1554219648,130242.47301273537,-0.013228893
2024-05-07,1297484.5768593033,-0.009405545304891128,13455768.290128127,0.6006085936975958,13455.76829012812,0.0006006085936975948,380872.46151953156,916612.1153397716,-0.013506055
2024-05-08,1282093.5934841367,-0.011855717391927307,13464141.201666387,0.006453187719986285,13464.14120166638,6.453187719985747e-06,373862.76259416266,908230.830889974,-0.01795876
2024-05-09,1281693.4764132376,-2.0498182837358442e-05,13837977.683671655,0.2915828328798944,13837.977683671648,0.0002915828328798945,0.0,1281693.4764132376,0.030738473
2024-05-10,1264800.5199245792,-0.012880184497726111,14222485.726595627,0.30000000000000054,14222.48572659562,0.0003000000000000002,367999.5944782367,896800.9254463424,-0.03605324
2024-05-11,1263255.1489207514,-0.0012127984437084677,14233908.628257215,0.009031385962957252,14233.908628257208,9.031385962957494e-06,377888.5480376582,885366.6008830932,0.00042760372
2024-05-12,1258067.9419914894,-0.004105361404664899,14234996.624895783,0.0008612643609627371,14234.996624895775,8.612643609621265e-07,373790.425743602,884277.5162478874,0.010817766
2024-05-13,1268880.0961249014,0.008597152794230548,14238644.814307734,0.002899834969307173,14238.644814307727,2.899834969307416e-06,388254.4174783775,880625.678646524,0.023682475
2024-05-14,1246033.6011129585,-0.017699282196792197,14626872.93104322,0.3059612314206175,14626.872931043212,0.0003059612314206164,738880.3110768897,507153.2900360687,-0.021649003
2024-05-15,1245294.7208018815,-8.320995189014534e-17,15365753.242120111,0.592985863637162,15365.753242120103,0.0005929858636371625,0.0,1245294.7208018815,0.075173736
2024-05-16,1241069.931004637,-0.002792602350810682,16112930.074601239,0.5999999999999986,16112.93007460123,0.0005999999999999988,743699.2195163654,497370.71148827154,-0.01467061
2024-05-17,1274797.9702182887,0.027182593682033705,16120390.526438097,0.006011306575463289,16120.390526438088,6.011306575463196e-06,778386.8799989781,496411.0902193107,0.02742064
2024-05-18,1284288.4581367886,0.007755283008192565,16516321.645250505,0.31058342424612695,16516.321645250497,0.000310583424246127,1157206.9308224982,127081.52731429052,-0.0016232729
2024-05-19,1268683.6523163037,-0.012144085318431386,16524618.85664553,0.006460551243341878,16524.61885664552,6.46055124334061e-06,1140263.1037140198,128420.54860228383,-0.0095822215
2024-05-20,1409137.2420390898,0.11071090875943769,16528149.2100399,0.0027826900645602005,16528.149210039894,2.7826900645624485e-06,1282272.2881656573,126864.9538734325,0.078048825
2024-05-21,1396803.7007824776,-0.00871843128817178,16576224.246330379,0.034116645885329845,16576.22424633037,3.411664588532875e-05,1255940.166114173,140863.5346683048,-0.01817125
2024-05-22,1382342.8544561176,-0.010325550533828118,16614303.374422789,0.027261617413440728,16614.30337442278,2.7261617413440352e-05,1242700.6790635588,139642.17539255886,-0.013994992
2024-05-23,1378400.8342398545,-0.0028484614599247468,16618773.245365307,0.0032335472550164006,16618.773245365297,3.2335472550159166e-06,1240168.7748734246,138232.0593664298,-0.017305613
2024-05-24,1356011.6005767449,-0.01623349627797239,16631742.096288186,0.009408620918334509,16631.742096288177,9.40862091833531e-06,1218186.938190505,137824.6623862401,0.008538246
2024-05-25,1364248.427927961,0.006092025930379005,16655772.577680223,0.017721442340033353,16655.772577680218,1.7721442340036295e-05,1228671.2983516788,135577.12957628243,0.010803461
2024-05-26,1356039.899323677,-0.0060146874713098535,16658773.254751915,0.0021995092757774995,16658.773254751908,2.199509275775729e-06,1219618.1710636718,136421.72826000518,-0.011298776
2024-05-27,1385513.5558885792,0.0217517498247491,16681357.332316209,0.016654434412702233,16681.357332316205,1.6654434412705047e-05,1249929.7202782014,135583.8356103779,0.013556957
2024-05-28,1370409.2070053024,-0.01089233503491338,16694228.369440421,0.009289722983589415,16694.22836944042,9.289722983591662e-06,1231870.828874512,138538.3781307904,-0.014949501
2024-05-29,1356783.0237402564,-0.00994068474865651,16697605.730990335,0.0024644912867261663,16697.605730990334,2.4644912867249135e-06,1219745.4757246317,137037.54801562475,-0.0109062195
2024-05-30,1355394.1315322847,-0.0010179318757067102,16705385.250679167,0.0057337979269417505,16705.385250679166,5.733797926942608e-06,1219723.5110326302,135670.62049965438,0.010343313
2024-05-31,1349116.3954912957,-0.0046247431922446505,16714771.50905582,0.006925113631738341,16714.77150905582,6.9251136317389e-06,1213586.4767422145,135529.91874908112,-0.011882067
2024-06-01,1355824.3342285422,0.005276010519311865,17124785.066197556,0.3039126635121984,17124.78506619756,0.00030391266351220225,816587.7895891657,539236.5446393766,0.0033586025
2024-06-02,1352091.3722950872,-0.0027500337411779656,17129184.33341388,0.003244717700710077,17129.184333413883,3.244717700708145e-06,809766.056597515,542325.3156975723,-1.8000603e-05
2024-06-03,1356852.50890257,0.003524058746114258,17132897.152013212,0.002745982021192736,17132.897152013218,2.7459820211949747e-06,816019.2835202902,540833.2253822798,0.015409946
2024-06-04,1371731.491267494,0.01097150860017133,17140633.75767788,0.005701876669649344,17140.633757677886,5.70187666965018e-06,828997.8134672807,542733.6778002132,0.025111914
2024-06-05,1384878.887873712,0.00988887037584044,17558112.059062358,0.3043440382043898,17558.112059062365,0.00030434403820438997,1248123.226291569,136755.66158214293,0.008082986
2024-06-06,1369310.0510857366,-0.011239864694726945,17561097.528753307,0.0021557622959596824,17561.097528753307,2.155762295955122e-06,1230822.641700339,138487.4093853975,-0.004344642
2024-06-07,1345966.0716755602,-0.016747709879240052,17972269.468618415,0.3002767266179688,17972.269468618415,0.00030027672661796803,798652.7928894411,547313.2787861191,-0.020388126
2024-06-08,1345304.5787587399,-0.00019605825486226542,18369874.62632222,0.29540503737128887,18369.874626322224,0.00029540503737129117,403526.68853159115,941777.8902271487,-0.0006508827
2024-06-09,1347270.8061323152,0.0014615961988961462,18369939.31141825,4.808211987866319e-05,18369.939311418253,4.808211987872809e-08,405557.6656862935,941713.1404460218,0.0048719645
2024-06-10,1346641.8695216358,-0.00046580104915216667,18371315.767109107,0.0010216622260289974,18371.31576710911,1.0216622260291702e-06,403553.649840446,943088.2196811897,-0.0015526414
2024-06-11,1333710.8928119685,-0.009602061313632405,18371754.67812515,0.00032593002339901167,18371.754678125155,3.2593002339998424e-07,391062.02305783937,942648.869754129,-0.03200686
2024-06-12,1333319.7401062618,-6.806079393029972e-08,18762816.61040957,0.29321342008380213,18762.816610409573,0.0002932134200838015,0.0,1333319.7401062618,0.014109254
