event_time,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-04-02,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,-0.031025171
2025-04-03,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.008444428
2025-04-04,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.008133054
2025-04-05,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,-0.004194498
2025-04-06,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,-0.061145723
2025-04-07,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.0093489885
2025-04-08,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,-0.035885572
2025-04-09,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.08245015
2025-04-10,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,-0.036408782
2025-04-11,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.04794216
2025-04-12,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.022212505
2025-04-13,1111254.8988182056,-0.008606578656133634,22139154.068756104,0.29485332352338695,22139.154068756103,0.00029485332352338693,320950.01220703125,790304.8866111743,-0.017787933
2025-04-14,1113854.8820335376,0.0023396821180244557,22139154.068756104,0.0,22139.154068756103,0.0,323549.9954223633,790304.8866111743,0.009928107
2025-04-15,1105579.8881370532,-0.007429149012101937,22139154.068756104,0.0,22139.154068756103,0.0,315275.0015258789,790304.8866111743,-0.011201918
2025-04-16,1119140.281524657,0.012276818286123382,22151764.068603516,0.011405778978722622,22151.764068603516,1.140577897872328e-05,341458.0047607422,777682.2767639149,0.004619479
2025-04-17,1128240.281524657,0.00813124158805422,22151764.068603516,0.0,22151.764068603516,0.0,350558.0047607422,777682.2767639149,0.010918975
2025-04-18,1126186.2593078602,-0.0018205538752978708,22151764.068603516,0.0,22151.764068603516,0.0,348503.9825439453,777682.2767639149,-0.0055707097
2025-04-19,1141344.2640686024,0.013459589508806567,22151764.068603516,0.0,22151.764068603516,0.0,363661.9873046875,777682.2767639149,0.007130146
2025-04-20,1136304.2923507679,-0.004403566808017307,22165750.06866455,0.01225397148024262,22165.75006866455,1.2253971480242621e-05,344650.0015258789,791654.290824889,0.0012016296
2025-04-21,1133054.2847213733,-0.0028601560790296483,22165750.06866455,0.0,22165.75006866455,0.0,341399.9938964844,791654.290824889,0.027436137
2025-04-22,1163629.274040221,0.026984575877021,22165750.06866455,0.0,22165.75006866455,0.0,371974.98321533203,791654.290824889,0.06772196
2025-04-23,1169157.4273513784,0.004763571555560314,22180628.06854248,0.012785859044497902,22180.62806854248,1.2785859044496652e-05,362640.0146484375,806517.4127029408,0.00265491
2025-04-24,1169914.9188674917,0.0008014314324132026,22360136.06414795,0.15353620599419882,22360.136064147948,0.0001535362059941988,543085.009765625,626829.9091018665,0.003088832
2025-04-25,1167257.9242385854,-0.002271100732246658,22360136.06414795,0.0,22360.136064147948,0.0,540428.0151367188,626829.9091018665,0.007003665
2025-04-26,1167021.9257034292,-0.00020218199444668093,22360136.06414795,0.0,22360.136064147948,0.0,540192.0166015625,626829.9091018665,-0.00011283159
2025-04-27,1161110.9027542104,-0.0050650487527523075,22360136.06414795,0.0,22360.136064147948,0.0,534280.9936523438,626829.9091018665,-0.009285867
2025-04-28,1161633.9008010854,0.0004504290207200912,22360136.06414795,0.0,22360.136064147948,0.0,534803.9916992188,626829.9091018665,0.013460159
2025-04-29,1157754.9091018667,-0.0033392549034112397,22360136.06414795,0.0,22360.136064147948,0.0,530925.0,626829.9091018665,-0.007939696
2025-04-30,1160286.8915237417,0.002186976191566483,22360136.06414795,0.0,22360.136064147948,0.0,533456.982421875,626829.9091018665,-0.0008999109
2025-05-01,1172680.9222854604,0.010681867434908572,22360136.06414795,0.0,22360.136064147948,0.0,545851.0131835938,626829.9091018665,0.0246135
2025-05-02,1166369.911543273,-0.005381694732347014,22360136.06414795,0.0,22360.136064147948,0.0,539540.0024414062,626829.9091018665,0.004116893
2025-05-03,1162285.927168273,-0.0035014486695702815,22360136.06414795,0.0,22360.136064147948,0.0,535456.0180664062,626829.9091018665,-0.010638356
2025-05-04,1153195.9003128042,-0.00782081813346495,22360136.06414795,0.0,22360.136064147948,0.0,526365.9912109375,626829.9091018665,-0.016470492
2025-05-05,1160976.9061721792,0.006747340896082274,22360136.06414795,0.0,22360.136064147948,0.0,534146.9970703125,626829.9091018665,0.0048373938
2025-05-06,1161041.9208206167,5.5999949776656435e-05,22360136.06414795,0.0,22360.136064147948,0.0,534212.01171875,626829.9091018665,0.02217102
2025-05-07,1161508.925215148,0.0004022287103993406,22360136.06414795,0.0,22360.136064147948,0.0,534679.0161132812,626829.9091018665,0.0020290613
2025-05-08,1242272.9144729604,0.06953367942726095,22360136.06414795,0.0,22360.136064147948,0.0,615443.0053710938,626829.9091018665,0.064217925
2025-05-09,1275157.4648712147,0.02648451561296744,22376582.064819336,0.01323863740389446,22376.582064819333,1.323863740389329e-05,631898.0010986328,643259.4637725819,-0.002804637
2025-05-10,1310729.4604156483,0.027896159121043304,22376582.064819336,0.0,22376.582064819333,0.0,667469.9966430664,643259.4637725819,0.017845035
2025-05-11,1293053.4762237538,-0.01348560837740632,22376582.064819336,0.0,22376.582064819333,0.0,649794.0124511719,643259.4637725819,-0.0065979958
2025-05-12,1293512.4636505116,0.00035496399429530475,22376582.064819336,0.0,22376.582064819333,0.0,650252.9998779297,643259.4637725819,-0.012742102
2025-05-13,1333855.459866332,0.031188718585645116,22376582.064819336,0.0,22376.582064819333,0.0,690595.99609375,643259.4637725819,0.012767553
2025-05-14,1311198.086453246,-0.01697260242526925,22394957.064819336,0.013775855445267954,22394.957064819333,1.3775855445267954e-05,649581.9976806641,661616.0887725819,-0.0057240725
2025-05-15,1288637.0909698475,-0.01720639750506752,22394957.064819336,0.0,22394.957064819333,0.0,627021.0021972656,661616.0887725819,0.0024721622
2025-05-16,1283608.0870635975,-0.003902575784517499,22394957.064819336,0.0,22394.957064819333,0.0,621991.9982910156,661616.0887725819,-0.0028893948
2025-05-17,1274029.362811278,-0.007449301970980824,22411697.064208984,0.013041363293326648,22411.69706420898,1.3041363293325515e-05,629170.0134277344,644859.3493835438,-0.0032595992
2025-05-18,1293227.3593322742,0.015068723752672169,22411697.064208984,0.0,22411.69706420898,0.0,648368.0099487305,644859.3493835438,0.032267213
2025-05-19,1281451.3400451648,-0.009105915678423034,22411697.064208984,0.0,22411.69706420898,0.0,636591.9906616211,644859.3493835438,-0.008271277
2025-05-20,1285035.3351013171,0.0027968249313516857,22411697.064208984,0.0,22411.69706420898,0.0,640175.9857177734,644859.3493835438,0.012088656
2025-05-21,1299077.345599364,0.010927334147539023,22411697.064208984,0.0,22411.69706420898,0.0,654217.9962158203,644859.3493835438,0.026148796
2025-05-22,1324605.339373778,0.01965086517819002,22411697.064208984,0.0,22411.69706420898,0.0,679745.9899902344,644859.3493835438,0.01871717
2025-05-23,1297732.3367492664,-0.0202875542063089,22411697.064208984,0.0,22411.69706420898,0.0,652872.9873657227,644859.3493835438,-0.039194822
2025-05-24,1302400.32838745,0.0035970373134698976,22411697.064208984,0.0,22411.69706420898,0.0,657540.9790039062,644859.3493835438,0.004133582
2025-05-25,1304183.3590881336,0.0013690342837146163,22411697.064208984,0.0,22411.69706420898,0.0,659324.0097045898,644859.3493835438,0.011528015
2025-05-26,1303522.3529235828,-0.0005068353003775078,22411697.064208984,0.0,22411.69706420898,0.0,658663.0035400391,644859.3493835438,0.0039503574
2025-05-27,1317373.3706848132,0.010625838314291236,22411697.064208984,0.0,22411.69706420898,0.0,672514.0213012695,644859.3493835438,-0.0045379996
2025-05-28,1309102.3745910632,-0.006278399334465421,22411697.064208984,0.0,22411.69706420898,0.0,664243.0252075195,644859.3493835438,-0.01061511
2025-05-29,1303708.2354461658,-0.003817908544892165,22807803.0670166,0.30257832427456455,22807.803067016597,0.0003025783242745645,263138.9892578125,1040569.2461883534,-0.0203377
2025-05-30,1293703.2549774158,-0.007674248115281724,22807803.0670166,0.0,22807.803067016597,0.0,253134.0087890625,1040569.2461883534,-0.015193462
2025-05-31,1293375.2520477283,-0.0002535379952284544,22807803.0670166,0.0,22807.803067016597,0.0,252806.005859375,1040569.2461883534,0.0058315992
2025-06-01,1294490.2422821033,0.0008620779101886314,22807803.0670166,0.0,22807.803067016597,0.0,253920.99609375,1040569.2461883534,0.0100489855
2025-06-02,1301310.2373992908,0.005268479355367164,22807803.0670166,0.0,22807.803067016597,0.0,260740.9912109375,1040569.2461883534,0.002035737
2025-06-03,1299905.2569305408,-0.0010796660384059511,22807803.0670166,0.0,22807.803067016597,0.0,259336.0107421875,1040569.2461883534,-0.0045447946
2025-06-04,1301337.2393524158,0.0011016052241040492,22807803.0670166,0.0,22807.803067016597,0.0,260767.9931640625,1040569.2461883534,-0.0064533353
2025-06-05,1281970.2471649158,-0.014882377605006979,22807803.0670166,0.0,22807.803067016597,0.0,241401.0009765625,1040569.2461883534,-0.030451536
2025-06-06,1288179.2559539783,0.004843332989040702,22807803.0670166,0.0,22807.803067016597,0.0,247610.009765625,1040569.2461883534,0.0273844
2025-06-07,1293032.2344696033,0.003767316150446051,22807803.0670166,0.0,22807.803067016597,0.0,252462.98828125,1040569.2461883534,0.012117505
2025-06-08,1291552.2540008533,-0.0011445812635576577,22807803.0670166,0.0,22807.803067016597,0.0,250983.0078125,1040569.2461883534,0.0017228127
2025-06-09,1308582.2344696033,0.013185668962286328,22807803.0670166,0.0,22807.803067016597,0.0,268012.98828125,1040569.2461883534,0.042834163
2025-06-10,1322209.2364227283,0.010413561787844628,22807803.0670166,0.0,22807.803067016597,0.0,281639.990234375,1040569.2461883534,0.000103116035
2025-06-11,1307373.9835906972,-0.010920332762774263,23204091.05529785,0.2997165481564911,23204.091055297846,0.00029971654815649004,663489.013671875,643884.9699188222,-0.01477474
2025-06-12,1294115.5979095448,-0.009845716568455235,23590443.045043945,0.2955175753803664,23590.44304504394,0.00029551757538036637,264264.990234375,1029850.6076751698,-0.02736789
2025-06-13,1287769.6018157948,-0.004903732018995082,23590443.045043945,0.0,23590.44304504394,0.0,257918.994140625,1029850.6076751698,0.0037367344
2025-06-14,1282926.6086517323,-0.0037607605873237965,23590443.045043945,0.0,23590.44304504394,0.0,253076.0009765625,1029850.6076751698,-0.0061466694
2025-06-15,1284611.6184173573,0.0013134108796728672,23590443.045043945,0.0,23590.44304504394,0.0,254761.0107421875,1029850.6076751698,0.0017015934
2025-06-16,1284267.5998626698,-0.0002677996600336927,23590443.045043945,0.0,23590.44304504394,0.0,254416.9921875,1029850.6076751698,0.011369228
2025-06-17,1284013.1828704823,0.0,23844860.037231445,0.1981027880908196,23844.86003723144,0.00019810278809081962,0.0,1284013.1828704823,-0.021006286
2025-06-18,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,0.0032099485
2025-06-19,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,-0.0021755695
2025-06-20,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,-0.013000369
2025-06-21,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,-0.011403739
2025-06-22,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,-0.011321366
2025-06-23,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,0.043283463
2025-06-24,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,0.00711143
2025-06-25,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,0.011854649
2025-06-26,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,-0.0036660433
2025-06-27,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,0.00093996525
2025-06-28,1284013.1828704823,0.0,23844860.037231445,0.0,23844.86003723144,0.0,0.0,1284013.1828704823,0.002327919
2025-06-29,1290111.3868728627,0.005042805695517809,24221685.026550293,0.29347439290026184,24221.685026550287,0.0002934743929002618,383300.0183105469,906811.3685623158,0.009880424
